race_name,race_date,distance_labels,region,location_detail,host_org,registration_status,source_url,source,tier
제2회 마포구청장배 마라톤 대회,2026-09-20,10km 5km,서울,평화의 공원 평화광장,마포구체육회,접수중,https://gorunning.kr/races/1180/2nd-mapo-mayor-cup-marathon/,gorunning.kr,Tier2
2026(20회) 선사마라톤 축제,2026-09-20,하프 10km 5km 5km 걷기,서울,서울 암사동 유적앞 특설무대,강동구 육상연맹,접수마감,https://gorunning.kr/races/1125/2026-20th-sunsa-marathon/,gorunning.kr,Tier2
2026 안산마라톤,2026-09-20,하프 10km 5km,경기,대부향기테마파크,안산시체육,접수중,https://gorunning.kr/races/1189/2026-ansan-marathon/,gorunning.kr,Tier2
2026 Trans Jeju UTMB,2026-10-02,100km 70km 20km,제주,제주월드컵경기장,UTMB,접수마감,https://gorunning.kr/races/1127/2026-trans-jeju-utmb/,gorunning.kr,Tier2
2026 완주트레일런,2026-10-03,36K 22K 7K,전북,완주군 고산자연휴양림,완주군/삼삼이즈,접수중,https://gorunning.kr/races/1173/2026-wanju-trail-run/,gorunning.kr,Tier2
2026 마스터즈 하프 마라톤,2026-10-03,하프 10km 5km,서울,상암 월드컵공원 평화광장,(사)사회안전예방중앙회,접수중,https://gorunning.kr/races/1204/2026-masters-half-marathon/,gorunning.kr,Tier2
2026 JUST RUN10 청주,2026-10-03,10km 5km,충북,무심천체육공원,"(주)러닝브레이커, 전국러닝협",접수중,https://gorunning.kr/races/1224/2026-just-run10-cheongju-1224/,gorunning.kr,Tier2
제2회 아산이순신 트레일,2026-10-03,60km 46km,충남,아산 신정호 이순신장군 동상,아산 이순신트레일 조직위원회,접수중,https://gorunning.kr/races/901/2nd-asan-yisunsin-trail/,gorunning.kr,Tier2
2026 서산 코스모스 황금들녘 마라톤 대회,2026-10-03,하프 10km 5km,충남,서산스포츠테마파크,서산시체육회,접수중,https://gorunning.kr/races/1036/2026-seosan-cosmos-golden-fields-marathon/,gorunning.kr,Tier2
제25회 김제새만금 지평선 전국마라톤,2026-10-03,하프 10km 5km,전북,김제시민운동장,김제스포츠클럽,접수마감,https://gorunning.kr/races/1107/25th-gimje-saemangeum-horizon-marathon/,gorunning.kr,Tier2
2026 천사데이기념 동두천천사마라톤,2026-10-03,10km 5km,경기,경기도 동두천시 캠프보산,(사)희망지킴이 천사운동본부,접수중,https://gorunning.kr/races/1139/2026-angel-day-dongducheon-marathon/,gorunning.kr,Tier2
2026 춘천연합마라톤,2026-10-03,하프 10km 5km,강원,춘천시 엘리시안 강촌,"연합뉴스, 춘천시육상연맹",접수마감,https://gorunning.kr/races/1243/2026-chuncheon-yonhap-marathon/,gorunning.kr,Tier2
제 2회 아산이순신 트레일,2026-10-03,60km,충남,아산 신정호 이순신장군 동상,아산 이순신트레일 조직위원회,접수중,https://gorunning.kr/races/1269/2026-2nd-asan-yi-sun-shin-trail/,gorunning.kr,Tier2
2026 ROK Army 트레일러닝,2026-10-03,16.25km,경기,용인시 처인구 육군 특전사 훈련코스 10.1Mile (시작/종료지점: 한국외국어대학교(용인) 글로벌캠퍼스 내 노천극장),대한민국 육군본부,접수마감,https://gorunning.kr/races/1334/2026-rok-army-trail-running/,gorunning.kr,Tier2
2026 S-OIL 50주년 감동의 마라톤,2026-10-04,하프 10km 5km,서울,월드컵공원 평화광장,"더윙, S오일",접수마감,https://gorunning.kr/races/1234/2026-soil-50th-anniversary-marathon/,gorunning.kr,Tier2
2026 YTN 서울투어마라톤,2026-10-04,하프 10km,서울,서울광장,YTN,접수마감,https://gorunning.kr/races/1094/2026-ytn-seoul-tour-marathon/,gorunning.kr,Tier2
2026 Run Your Way Seoul 10K,2026-10-04,10km,서울,여의도공원 문화의 광장,뉴발란스,접수마감,https://gorunning.kr/races/1252/2026-run-your-way-seoul-10k/,gorunning.kr,Tier2
제20회 달서하프마라톤,2026-10-04,하프 10km 5km,대구,대구 달서구 호림강나루공원,달서구체육회,접수마감,https://gorunning.kr/races/913/20th-dalseo-half-marathon/,gorunning.kr,Tier2
제23회 경남마라톤,2026-10-04,10km 3km,경남,창원종합운동장 보조경기장,(주)경남신문사,접수마감,https://gorunning.kr/races/1183/23rd-gyeongnam-marathon/,gorunning.kr,Tier2
2026 파주북시티마라톤,2026-10-04,3Km(거북이마라톤) 10km 5km 3Km(거북이마라톤),경기,파주출판도시,(사)파주출판도시입주기업체협의,접수마감,https://gorunning.kr/races/1097/2026-paju-book-city-marathon/,gorunning.kr,Tier2
2026 안동마라톤,2026-10-04,풀 하프 10km 5km,경북,안동시민운동장,"안동시, 매일신문사",접수마감,https://gorunning.kr/races/1056/2026-andong-marathon/,gorunning.kr,Tier2
2026 홍천사랑마라톤,2026-10-04,하프 10km 5km,강원,홍천종합운동장,"홍천군육상연맹, 이상커뮤니케이션즈",접수중,https://gorunning.kr/races/1105/2026-hongcheon-love-marathon/,gorunning.kr,Tier2
제14회 광명시장배건강달리기,2026-10-04,10km 5km,경기,광명 찬빛광장,광명시육상연맹,접수마감,https://gorunning.kr/races/1236/14th-gwangmyeong-health-run/,gorunning.kr,Tier2
소노 런트립 180K in 경주,2026-10-04,9km 7km,경북,소노캄 경주,(주)소노인터내셔널,접수중,https://gorunning.kr/races/1360/2026-sono-runtrip-gyeongju/,gorunning.kr,Tier2
